"Name","ShortName","ModeAndPID","Equation","Min Value","Max Value","Units","OBD Header"
"LED illumination contrast","LEDilluminat","2108","C","0.0","255.0","percent","271"
"Auto light sensor","Autolightsen","2108","E*0.0196078431372549","0.0","5.0","volt","271"
"Outside temperature (bcm)","Outsidetempe","2108","A-40.0","-40.0","215.0","celsius","271"
"Auto light sensor (bcm)","Autolightsen","2108","E*0.0196078431372549","0.0","5.0","volt","271"
"A/C evaporator temperature","ACevaporator","2108","F-40.0","-40.0","215.0","celsius","271"
"Front wiper int. adjust switch","Frontwiperin","2108","P*0.0196078431372549","0.0","5.0","volt","271"
"Driving mode switch","Drivingmodes","2108","Q*0.0196078431372549","0.0","5.0","volt","271"
"Outside temperature (bcm)","Outsidetempe","2108","A-40.0","-40.0","215.0","celsius","271"
"Auto light sensor (bcm)","Autolightsen","2108","E*0.0196078431372549","0.0","5.0","volt","271"
"Pb+ Voltage","PbVoltage","2101","A*0.09374901960784313","0.0","23.906","volt","7E4"
"IGS+ Voltage","IGSVoltage","2101","B*0.09374901960784313","0.0","23.906","volt","7E4"
"PBDC Voltage","PBDCVoltage","2101","C*0.09374901960784313","0.0","23.906","volt","7E4"
"BPIN Voltage","BPINVoltage","2101","D*0.09374901960784313","0.0","23.906","volt","7E4"
"Li-Ion Battery Current","LiIonBattery","2101","G*1.5-190.0","-190.0","192.5","A","7E4"
"Relay 2P Current","Relay2PCurre","2101","H*1.4980392156862745-134.0","-134.0","248.0","A","7E4"
"Relay 3P Current","Relay3PCurre","2101","I*1.5-190.0","-190.0","192.5","A","7E4"
"Relay 2S Current","Relay2SCurre","2101","J*0.75-100.0","-100.0","91.25","A","7E4"
"Relay 3S Current","Relay3SCurre","2101","K*0.75-100.0","-100.0","91.25","A","7E4"
"Li-Ion Battery Voltage","LiIonBattery","2101","X*0.09374901960784313","0.0","23.906","volt","7E4"
"Li-Ion Battery SOC","LiIonBattery","2101","Y*0.5","0.0","127.5","percent","7E4"
"Li-Ion Battery Temperature","LiIonBattery","2101","Z-40.0","-40.0","215.0","celsius","7E4"
"Ignition voltage","Ignitionvolt","2108","A*0.1","0.0","25.5","volt","777"
"Vertical offset","Verticaloffs","2108","W*0.05-6.35","-6.35","6.4","degreeAngle","777"
"Detecting distance","Detectingdis","2108","INT16(X:Y)*0.02","0.0","1310.7","m","777"
"Camera temperature (current)","Cameratemper","2109","U-60.0","-60.0","195.0","celsius","777"
"Camera high temperature (history)","Camerahighte","2109","V-60.0","-60.0","195.0","celsius","777"
"Camera low temperature (history)","Cameralowtem","2109","W-60.0","-60.0","195.0","celsius","777"
"Number of satellites (SAT)","Numberofsate","2106","V","0.0","255.0","","799"
"Satellite system type (SAT)","Satellitesys","2106","W","0.0","255.0","","799"
"Oil Temp","OilTemp","2100","I-40.0","-40.0","215.0","celsius","7E0"
"Bank 1","Bank1","2100","R*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Bank 1 (engine)","Bank1","2100","S*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Bank 1 (engine)","Bank1","2100","V*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Bank 2","Bank2","2100","T*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Bank 2 (engine)","Bank2","2100","U*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Bank 2 (engine)","Bank2","2100","W*0.78125-100.0","-100.0","99.2188","percent","7E0"
"Cyl. 1, Bank 1","Cyl1Bank1","2100","INT16(X:Y)*0.001","0.0","65.535","msec","7E0"
"Injector power","Injectorpowe","2151","INT16(M:N)*0.001","0.0","65.535","volt","7E0"
"APP sensor 1","APPsensor1","2151","INT16(U:V)","0.0","65535.0","volt","7E0"
"APP sensor 2","APPsensor2","2151","INT16(W:X)*5.0","0.0","327675.0","volt","7E0"
"MAF","MAF","2152","INT16(C:D)*0.01","0.0","655.35","gPerS","7E0"
"IAT-1","IAT1","2152","I-40.0","-40.0","215.0","celsius","7E0"
"IAT-2","IAT2","2152","L-40.0","-40.0","215.0","celsius","7E0"
"Boost pressure","Boostpressur","2152","INT16(S:T)*0.1","0.0","6553.5","kpa","7E0"
